date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:49:00	18726/18726	---MCZ	200	added ('OK')	text/html	etag:%22910ba41e6aaaaf95785a16e83cd0c1f4-ssl-df%22	https://atul-image.netlify.app/	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/index.html	(from )
00:49:00	1447/1447	---MCZ	404	error ('Not%20Found')	text/html	etag:1603960438-ssl-df	https://atul-image.netlify.app/robots.txt		(from )
00:49:00	71030/71030	---M--	200	added ('OK')	image/png	etag:%22e25e65c0917a6059e4506d3e31926073-ssl%22	https://atul-image.netlify.app/img/Atul-favicon.png	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/img/Atul-favicon.png	(from https://atul-image.netlify.app/)
00:49:01	16563/16563	---MCZ	200	added ('OK')	text/css	etag:%224460dad45380efa505f5249d8e22657c-ssl-df%22	https://atul-image.netlify.app/style.css	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/style.css	(from https://atul-image.netlify.app/)
00:49:01	519/519	---M--	200	added ('OK')	application/javascript	etag:%227e4ff00918c0f807e61c83c760596a30-ssl%22	https://atul-image.netlify.app/main.js	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/main.js	(from https://atul-image.netlify.app/)
00:49:01	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%225f0f47d3-e637%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/all.min.css	E:/Web-develpoment%20Projects/Atul/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.14.0/css/all.min.css	(from https://atul-image.netlify.app/)
00:49:01	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	E:/Web-develpoment%20Projects/Atul/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://atul-image.netlify.app/)
00:49:02	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ed4-4ef8%22	https://cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.1.0/jquery.magnific-popup.min.js	E:/Web-develpoment%20Projects/Atul/cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.1.0/jquery.magnific-popup.min.js	(from https://atul-image.netlify.app/)
00:49:02	5259/5259	---M-Z	200	added ('OK')	text/css	etag:%225eb03ed4-148b%22	https://cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.1.0/magnific-popup.min.css	E:/Web-develpoment%20Projects/Atul/cdnjs.cloudflare.com/ajax/libs/magnific-popup.js/1.1.0/magnific-popup.min.css	(from https://atul-image.netlify.app/)
00:49:03	18726/18726	---MCZ	200	added ('OK')	text/html	etag:%22910ba41e6aaaaf95785a16e83cd0c1f4-ssl-df%22	https://atul-image.netlify.app/index.html	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/index-2.html	(from https://atul-image.netlify.app/)
00:49:03	8723/8723	---MCZ	200	added ('OK')	text/html	etag:%22a64725beeed8cf553519101417dbd181-ssl-df%22	https://atul-image.netlify.app/blog.html	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/blog.html	(from https://atul-image.netlify.app/)
00:49:04	211258/211258	---M--	200	added ('OK')	image/png	etag:%22113d5841a2943c2b1e1e65e799d56e11-ssl%22	https://atul-image.netlify.app/img/work1.png	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/img/work1.png	(from https://atul-image.netlify.app/)
00:49:04	412441/412441	---M--	200	added ('OK')	image/jpeg	etag:%22c6904fb1f1a4ae957c06d7e3f862a2b2-ssl%22	https://atul-image.netlify.app/img/me.jpg	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/img/me.jpg	(from https://atul-image.netlify.app/)
00:49:04	36386/36386	---M--	200	added ('OK')	image/png	etag:%22c80e8641ea6c5aa633fb5e28e5e28cff-ssl%22	https://atul-image.netlify.app/img/work3.png	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/img/work3.png	(from https://atul-image.netlify.app/)
00:49:04	96165/96165	---M--	200	added ('OK')	image/png	etag:%22bf87266deda1e9228964ea9f9aca5199-ssl%22	https://atul-image.netlify.app/img/work4.png	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/img/work4.png	(from https://atul-image.netlify.app/)
00:49:04	538722/538722	---M--	200	added ('OK')	image/png	etag:%228c517dc6145f0d794052ec39140c3261-ssl%22	https://atul-image.netlify.app/img/work2.png	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/img/work2.png	(from https://atul-image.netlify.app/)
00:49:05	179244/179244	---M--	200	added ('OK')	image/png	etag:%22a08f5abdd98ecdafd4fd2dc2d62834cb-ssl%22	https://atul-image.netlify.app/img/work5.png	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/img/work5.png	(from https://atul-image.netlify.app/)
00:49:05	174991/174991	---M--	200	added ('OK')	image/png	etag:%22b58902cee5a37697935a1e296b34f01d-ssl%22	https://atul-image.netlify.app/img/work7.png	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/img/work7.png	(from https://atul-image.netlify.app/)
00:49:05	408265/408265	---M--	200	added ('OK')	image/png	etag:%22bc70d4613f4a1fd9b4f78d4c23494e58-ssl%22	https://atul-image.netlify.app/img/work6.png	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/img/work6.png	(from https://atul-image.netlify.app/)
00:49:05	10051/10051	---M--	200	added ('OK')	image/jpeg	etag:%22916b05a8cc51998a3e8e544c8d55fe0e-ssl%22	https://atul-image.netlify.app/img/client1.jpg	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/img/client1.jpg	(from https://atul-image.netlify.app/)
00:49:05	197137/197137	---M--	200	added ('OK')	image/png	etag:%22fcace758a37dbe5a99495b03b9bb8953-ssl%22	https://atul-image.netlify.app/img/work8.png	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/img/work8.png	(from https://atul-image.netlify.app/)
00:49:05	10127/10127	---M--	200	added ('OK')	image/jpeg	etag:%22d960160908e063acdea85435537be52a-ssl%22	https://atul-image.netlify.app/img/Client2.jpg	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/img/Client2.jpg	(from https://atul-image.netlify.app/)
00:49:06	16384/16384	---M--	200	added ('OK')	image/jpeg	etag:%22580afd41a0ea725c13bc06a5f13a69ed-ssl%22	https://atul-image.netlify.app/img/Client3.jpg	E:/Web-develpoment%20Projects/Atul/atul-image.netlify.app/img/Client3.jpg	(from https://atul-image.netlify.app/)
